,Price
0,46751.430943899584
1,46471.640670181994
2,46351.235984913634
3,46116.6389174474
4,46252.964602920365
5,46295.09501810441
6,46255.38586463464
7,46401.62851197626
8,46378.506137694516
9,46043.394197630296
10,46297.28100875314
11,46341.783510572255
12,46411.706568952344
13,46647.104595122524
14,46434.34113832294
15,46623.72420547973
16,46742.8747253203
17,46654.468505461446
18,46602.677057693254
19,46429.90699689932
20,46455.71149511343
21,46916.54324704699
22,46899.037731018936
23,47560.9141690334
24,46878.13917069899
25,46990.56063397681
26,46816.20847603118
27,47034.31690949014
28,47381.95822674971
29,47059.1676643493
30,46824.04235984838
31,46601.7072960598
32,46413.486387444136
33,46401.13889020538
34,46608.52882273223
35,46764.05673141518
36,47038.16747786275
37,46986.903981297655
38,46821.75025960367
39,47113.66876434535
40,47286.0595542541
41,47141.242091976004
42,47192.40105382359
43,47169.822186883175
44,47426.36125072425
45,46913.1797393044
46,47498.103791123154
47,47201.2425164925
48,47338.046608174336
49,47664.50618696141
50,47371.68358977005
51,47606.078009803176
52,47426.24601784315
53,47313.44475379739
54,47392.86162704329
55,46942.34728875623
56,47388.37890305645
57,47513.258160572674
58,47395.60319062044
59,46898.377592994766
60,47357.67550313564
61,47190.65757403905
62,47060.76432609341
63,47234.29575527196
64,47309.47374634809
65,47484.527424863205
66,48247.94265511925
67,47194.17691062177
68,47158.88289746155
69,47906.30444075045
70,47693.72300256383
71,47675.51126249411
72,47543.13539927405
73,47656.90941715307
74,47612.21825897685
75,47431.10050428468
76,48384.055607951435
77,48125.335124153695
78,47612.48774523964
79,48221.293978346206
80,47979.65974363102
81,47594.30890618268
82,47263.80787333235
83,47288.90688586242
84,47581.52239415232
85,47511.99693012168
86,47250.869204062845
87,48125.57293016302
88,47892.00326102015
89,47620.215515519296
90,48166.83109123884
91,47757.08278353715
92,47446.11007212467
93,47892.80981757501
94,48270.00999732403
95,48108.95345696793
96,48537.076745792845
97,47648.371546428745
98,47931.34193292999
99,47479.88823301089
100,47698.368661031884
101,47966.725046466105
102,48664.372084197705
103,48099.97033380268
104,47887.099380577514
105,47338.65137454724
106,48452.57194019421
107,47385.3374466831
108,48253.93473538767
109,48257.45884130789
110,48029.734078803216
111,47592.57706496512
112,48499.27315635212
113,48506.29822593221
114,47568.36231377045
115,48319.89990699469
116,48076.303427077044
117,47961.1068621806
118,49256.691148368634
119,48710.16741336144
120,48377.571269140746
121,47493.970613074365
122,47961.45708810115
123,48306.851329756595
124,47780.76334956896
125,47835.78427614458
126,48240.25588499734
127,47649.823336466245
128,48857.30581229152
129,48171.0670296897
130,48565.435504319525
131,47880.891480939215
132,47619.051345666805
133,48438.84530189185
134,48296.90663052594
135,47859.8935235029
136,47523.72138524691
137,48177.59512240956
138,48235.929989946664
139,48226.1556019905
140,47811.37843739045
141,48008.91640892608
142,48384.18407268438
143,48597.14721908986
144,48180.5182036287
145,48176.83897300824
146,48759.658065132506
147,47980.91442912656
148,48222.1928086172
149,47890.53513284494
150,48251.846659820476
151,48077.35540629449
152,47626.39825643566
153,48058.14548025875
154,48527.49951316678
155,48184.37558032031
156,47859.343764718695
157,48479.383732838614
158,48697.607710641096
159,47714.17520890707
160,48603.90162048807
161,48376.01830467372
162,48765.8867918698
163,48662.64209610352
164,48408.4448864135
165,48350.36910025844
166,48009.275096715726
167,47821.47066871872
